"blue","indigo"
9.9999999951e-10,9.9999999951e-10
9.9999999951e-10,9.9999999951e-10
9.9999999999e-10,0.00863650294181351
9.9999999953e-10,9.9999999953e-10
9.9999999949e-10,9.9999999949e-10
0.00984502311636123,9.9999999976e-10
0.00424247570156163,9.9999999982e-10
9.9999999954e-10,9.9999999954e-10
0.0166523120945879,9.9999999958e-10
9.9999999951e-10,9.9999999951e-10
9.999999997e-10,9.999999997e-10
9.9999999998e-10,0.00367791567472264
6.74059845796122e-06,0.0140680622780188
9.9999999999e-10,0.00931589221903798
0.0016895187140947,9.9999999952e-10
9.9999999956e-10,9.9999999956e-10
9.9999999952e-10,9.9999999952e-10
9.9999999958e-10,9.9999999958e-10
0.00676028776859807,0.0127953531175694
0.00981507576079165,0.0103106850385367
0.00570447261425789,0.00260757016251032
9.9999999977e-10,9.9999999977e-10
9.9999999997e-10,9.9999999997e-10
0.0123028585251866,9.9999999982e-10
0.00243983583957181,9.9999999966e-10
9.9999999999e-10,0.00792028266847216
0.0589824835480284,9.9999999978e-10
0.0146529101932165,0.0239874716090084
0.0144229072956615,9.999999995e-10
9.9999999961e-10,9.9999999961e-10
0.0422639264035288,9.9999999987e-10
0.0228550836133688,9.9999999958e-10
0.0387879247100756,0.0229632317880664
9.9999999952e-10,9.9999999952e-10
9.9999999956e-10,9.9999999956e-10
0.00387519715902281,9.9999999962e-10
2.22693305798395e-06,9.9999999957e-10
9.9999999963e-10,9.9999999963e-10
9.9999999959e-10,9.9999999959e-10
9.9999999983e-10,9.9999999983e-10
0.00715116603044747,9.9999999969e-10
9.9999999967e-10,9.9999999967e-10
9.9999999958e-10,9.9999999958e-10
9.9999999954e-10,9.9999999954e-10
1.43998344640834e-06,0.0558936515203656
9.9999999952e-10,9.9999999952e-10
0.00826663912447764,9.9999999967e-10
9.9999999958e-10,9.9999999958e-10
0.0372920342455054,9.9999999983e-10
0.0317514602768151,9.9999999988e-10
0.0300744316775165,0.0110955419616686
0.0564397723951367,9.9999999993e-10
0.0145592405659951,9.9999999957e-10
0.0349282833712118,9.9999999952e-10
0.0207239858127877,9.9999999995e-10
0.0493362830073732,9.9999999974e-10
0.03896966455275,9.999999998e-10
0.00968057387231438,9.9999999954e-10
0.00107558989029793,9.9999999983e-10
9.9999999956e-10,9.9999999956e-10
9.9999999953e-10,9.9999999953e-10
9.9999999963e-10,9.9999999963e-10
1.1123877113661e-05,9.9999999955e-10
0.00420018874850948,9.9999999955e-10
9.9999999977e-10,9.9999999977e-10
9.9999999953e-10,9.9999999953e-10
0.0131213425488557,9.9999999962e-10
0.0188036161428366,9.9999999953e-10
9.999999995e-10,9.999999995e-10
0.0728633819172916,9.9999999975e-10
0.0282472400642288,9.999999996e-10
0.0174782624242388,9.9999999974e-10
9.9999999949e-10,9.9999999949e-10
0.00254525758904179,9.9999999954e-10
9.9999999948e-10,9.9999999948e-10
5.5706597931746e-07,9.9999999954e-10
9.9999999949e-10,9.9999999949e-10
9.9999999951e-10,9.9999999951e-10
9.9999999953e-10,9.9999999953e-10
0.0207899267431353,9.9999999961e-10
0.045738007791686,0.0316249669129559
0.011602669762953,9.9999999954e-10
9.999999995e-10,9.999999995e-10
9.9999999952e-10,9.9999999952e-10
9.9999999954e-10,9.9999999954e-10
9.9999999955e-10,9.9999999955e-10
9.9999999949e-10,9.9999999949e-10
9.9999999952e-10,9.9999999952e-10
0.0255728714059569,9.9999999963e-10
9.9999999964e-10,9.9999999964e-10
9.9999999955e-10,9.9999999955e-10
9.9999999973e-10,9.9999999973e-10
